COLLEGIOUNINOMINALE;CODICE_REGIONE;LISTA;VOTI_LISTA;VOTANTI;VOTI_PERC
Lombardia - U10;3;ALTRI;6912.348786266373;274274.2146000862;0.025202328247827203
Lombardia - U11;3;ALTRI;6940.000643885625;270597.8844897002;0.025646913895772838
Trentino-Alto Adige/Südtirol - U01;4;ALTRI;2524.378582088953;116335.0;0.021699218481875213
Trentino-Alto Adige/Südtirol - U02;4;ALTRI;2124.742093691399;91603.0;0.023195114719948028
Trentino-Alto Adige/Südtirol - U03;4;ALTRI;1824.9656400823544;62210.0;0.029335567273466555
Trentino-Alto Adige/Südtirol - U04;4;ALTRI;1792.8754141574168;82745.99506795406;0.021667216796233357
Trentino-Alto Adige/Südtirol - U05;4;ALTRI;659.7693123375808;59498.99645358324;0.011088746897643635
Trentino-Alto Adige/Südtirol - U06;4;ALTRI;1546.9437815791093;73674.0;0.020997146640322355
Veneto - U01;5;ALTRI;7885.241137648344;269099.3828214382;0.029302338247578302
Veneto - U02;5;ALTRI;6681.2341447098715;305628.9473797679;0.02186060647065579
Veneto - U03;5;ALTRI;10618.9902266304;328526.3079433441;0.032323104633866014
Veneto - U04;5;ALTRI;10402.04919646774;307569.2965750694;0.03382018072772384
Veneto - U05;5;ALTRI;7307.628012537123;233000.03237456083;0.031363205996425336
Friuli-Venezia Giulia - U01;6;ALTRI;11345.938080813808;326791.5909515619;0.034719186157074464
Liguria - U01;7;ALTRI;5618.556134191289;259929.9117666781;0.021615658221108065
Liguria - U02;7;ALTRI;7801.576082812267;275647.6439447701;0.028302712735594513
Emilia-Romagna - U01;8;ALTRI;5862.156122923395;244450.76805799454;0.023980927405115093
Emilia-Romagna - U02;8;ALTRI;6318.554933215443;263189.1880475879;0.02400765388612001
Emilia-Romagna - U03;8;ALTRI;12052.813447112962;330507.8663889915;0.03646755394598504
Emilia-Romagna - U04;8;ALTRI;6715.995264846499;304800.97532220185;0.022034034693449035
Emilia-Romagna - U05;8;ALTRI;10198.075681807097;294932.2866081353;0.03457768492927622
Toscana - U01;9;ALTRI;8002.495286608349;282921.3234894583;0.028285232049349306
Toscana - U02;9;ALTRI;6802.5235643622345;278415.62731820345;0.02443298039656221
Toscana - U03;9;ALTRI;9578.162402044538;279701.10023709945;0.03424427860285583
Toscana - U04;9;ALTRI;8348.6961738904;281462.0382459685;0.02966189055518211
Umbria - U01;10;ALTRI;5986.336709302284;226668.74754288793;0.0264100665583358
Marche - U01;11;ALTRI;7691.69689306322;267559.98650819063;0.028747560475855232
Marche - U02;11;ALTRI;10117.197691568676;258205.0538301207;0.039182802743377064
Lazio - U01;12;ALTRI;7376.524202912214;277045.6394928852;0.026625664336080084
Lazio - U02;12;ALTRI;10995.7372094156;282989.0165227194;0.03885570311006336
Lazio - U03;12;ALTRI;6775.56637466485;269978.09016599134;0.025096726814012982
Lazio - U04;12;ALTRI;6840.035923644147;288765.1309056971;0.023687194856909222
Lazio - U05;12;ALTRI;8405.982885621645;272129.6387881413;0.030889626440749
Lazio - U06;12;ALTRI;9037.281353425762;263396.61430072784;0.03431054486944781
Abruzzo - U01;13;ALTRI;8181.8786416549965;326782.35374599695;0.025037700316017212
Molise - U01;14;ALTRI;15991.743167296743;149550.0;0.10693241837042289
Campania - U01;15;ALTRI;7386.63652822255;254987.3588103056;0.028968638142245075
Campania - U02;15;ALTRI;5429.61335123351;237570.71353250742;0.022854725106891436
Campania - U03;15;ALTRI;6471.670637141588;234154.760910701;0.02763843285513922
Campania - U04;15;ALTRI;5191.311390662684;191402.93359225988;0.027122423325661164
Campania - U05;15;ALTRI;8577.558242715326;254727.94505777955;0.033673408862815155
Campania - U06;15;ALTRI;6814.625316738873;239903.60182176347;0.028405681552883907
Campania - U07;15;ALTRI;4770.641900063927;224599.40623291582;0.021240670133903378
Puglia - U01;16;ALTRI;5344.66951107704;202591.9978326559;0.026381444322849407
Puglia - U02;16;ALTRI;4919.69494508247;236896.74676036835;0.02076725414072048
Puglia - U03;16;ALTRI;6267.896674747215;245213.39931461215;0.02556098766326149
