COLLEGIOUNINOMINALE;CIRCOSCRIZIONE;LISTA;VOTI_LISTA;VOTANTI
Puglia - U01;Puglia;FDI;19341.699662205236;102947.97077968718
Puglia - U02;Puglia;FDI;22424.772062221648;110787.80824098736
Puglia - U03;Puglia;FDI;31564.205666051297;140144.58267345652
Puglia - U04;Puglia;FDI;32156.242246261565;142385.0462103784
Puglia - U05;Puglia;FDI;30789.876569189844;155022.90193790197
Puglia - U06;Puglia;FDI;31916.107780458842;146019.6937366724
Puglia - U07;Puglia;FDI;26695.07063695476;118538.85163891315
Puglia - U08;Puglia;FDI;26079.456949768835;127565.16245821118
Puglia - U09;Puglia;FDI;42922.39331525099;139369.32061704993
Puglia - U10;Puglia;FDI;30687.234368495952;142511.10071244836
Basilicata - U01;Basilicata;FDI;33858.81465671006;152766.11077153683
Calabria - U01;Calabria;FDI;26040.3141022169;104175.83897622116
Calabria - U02;Calabria;FDI;31097.458329745707;120919.8990795482
Calabria - U03;Calabria;FDI;26424.707970614083;108669.00457540154
Calabria - U04;Calabria;FDI;33854.69037723841;112757.23446691409
Calabria - U05;Calabria;FDI;35230.03521465826;116825.8727338314
Sicilia 1 - U01;Sicilia 1;FDI;16822.64734298216;100567.70392146707
Sicilia 1 - U02;Sicilia 1;FDI;29069.88756613752;143283.84437191486
Sicilia 1 - U03;Sicilia 1;FDI;33727.882864396524;131974.823687315
Sicilia 1 - U04;Sicilia 1;FDI;28497.15191120411;113307.3988626767
Sicilia 1 - U05;Sicilia 1;FDI;27820.530198883327;124669.47102713585
Sicilia 1 - U06;Sicilia 1;FDI;24900.201418453926;140046.88969907165
Sicilia 2 - U01;Sicilia 2;FDI;26411.60971881208;124848.07153502107
Sicilia 2 - U02;Sicilia 2;FDI;36797.791571692054;134480.91639989614
Sicilia 2 - U03;Sicilia 2;FDI;31967.605785557826;138201.1140266955
Sicilia 2 - U04;Sicilia 2;FDI;16158.588630491691;100643.31165596843
Sicilia 2 - U05;Sicilia 2;FDI;25687.3363965691;116477.67625188828
Sicilia 2 - U06;Sicilia 2;FDI;34725.31248347387;144798.08882173896
Sardegna - U01;Sardegna;FDI;39298.92408219872;161458.33297353983
Sardegna - U02;Sardegna;FDI;37146.81404584432;148729.19014931098
Sardegna - U03;Sardegna;FDI;29686.29910677776;121324.0268291384
Sardegna - U04;Sardegna;FDI;28671.45541430468;127508.71752074361
Piemonte 1 - U01;Piemonte 1;FI;11253.346223511184;113802.13112157024
