ALTRI;AZN;FDI;FI;LEGA;LEUV;M5S;PD;SVP;CODICE_REGIONE;SU20_COD;COLLEGIOUNINOMINALE
13884.956305926666;4958.659784313291;11413.175819998607;24630.175027843565;46001.093110134825;7219.813420986757;89151.92820169777;60945.252159219235;0.0;11;110002;Marche - U02
19051.685397879388;4909.745046096539;19951.549293404765;39577.00551216102;48219.95116984047;7356.209317696683;90872.01847115564;47107.47528465069;0.0;12;120001;Lazio - U01
18696.34966200354;12032.59283468128;25258.339055791213;32806.37698270364;32857.4703193172;11897.620847315602;90142.13745328528;59298.12936762167;0.0;12;120002;Lazio - U02
18131.755488138646;9953.025264136493;24527.71719657164;30626.76994548738;32462.802635915577;10946.596999437548;88322.21240960341;55007.21022670064;0.0;12;120003;Lazio - U03
17680.620392164215;7869.607422307134;23650.926621342078;34066.09231649153;35253.00851392001;10223.725415060297;109576.84621380083;50444.30401061103;0.0;12;120004;Lazio - U04
17845.094222117215;4577.305605575442;19380.262162592262;39255.65846649185;43304.61264863983;7834.379522245377;94009.71577590704;45922.6103845723;0.0;12;120005;Lazio - U05
16562.349028110504;2646.6957244873047;14740.647601604462;51507.512305259705;41666.428629398346;6497.143342018127;93206.35602331161;36569.48164653778;0.0;12;120006;Lazio - U06
25943.5780595541;5062.905377089977;15555.854907035828;52750.9408570528;47352.6988530159;8169.440120458603;126181.2786051631;45765.656966626644;0.0;13;130001;Abruzzo - U01
13085.0;1317.0;4208.0;24043.0;12727.0;5337.0;67295.0;21538.0;0.0;14;140001;Molise - U01
16053.331165373325;2370.3686785697937;8951.848276495934;53916.11256253719;16113.108218967915;5112.342035770416;119660.13421612978;32810.11365646124;0.0;15;150001;Campania - U01
18627.393124103546;2316.828200697899;7875.888968884945;45108.38779169321;15258.816232025623;5959.2404054403305;104534.9907271862;37889.16808247566;0.0;15;150002;Campania - U02
17546.856107607484;2549.129348360002;10376.518890082836;55123.2796497792;18333.639565616846;6015.167708672583;89099.88797394931;35110.28166663274;0.0;15;150003;Campania - U03
10704.476310193539;3455.0630741119385;5686.418238759041;33208.61903679371;5387.123565375805;6816.199588119984;97655.88441497087;28489.149363934994;0.0;15;150004;Campania - U04
11686.968930080533;1946.966135904193;5731.7821080982685;53262.93207100034;10142.632534876466;6166.327548831701;138790.8659631014;26999.469765886664;0.0;15;150005;Campania - U05
