COLLEGIOUNINOMINALE;CIRCOSCRIZIONE;LISTA;VOTI_LISTA;VOTANTI
Campania 1 - U07;Campania 1;FDI;20306.00836475887;124879.43610522151
Campania 2 - U01;Campania 2;FDI;34426.0402784864;146919.712641716
Campania 2 - U02;Campania 2;FDI;30069.913033792007;152167.38775396347
Campania 2 - U03;Campania 2;FDI;23411.796822991717;132657.59531963803
Campania 2 - U04;Campania 2;FDI;23553.742971039628;127699.89764669538
Campania 2 - U05;Campania 2;FDI;45627.31892730161;153587.94384020567
Campania 2 - U06;Campania 2;FDI;31871.572471742136;136932.22300910018
Campania 2 - U07;Campania 2;FDI;33615.232612596585;124357.14047966897
Puglia - U01;Puglia;FDI;16507.834552959703;102947.97077968718
Puglia - U02;Puglia;FDI;19278.569968151944;110787.80824098736
Puglia - U03;Puglia;FDI;27392.638445533736;140144.58267345652
Puglia - U04;Puglia;FDI;27912.743781035122;142385.0462103784
Puglia - U05;Puglia;FDI;26422.75356233951;155022.90193790197
Puglia - U06;Puglia;FDI;27627.892514870142;146019.6937366724
Puglia - U07;Puglia;FDI;23166.800835615457;118538.85163891315
Puglia - U08;Puglia;FDI;22441.291877253767;127565.16245821118
Puglia - U09;Puglia;FDI;38082.505312543115;139369.32061704993
Puglia - U10;Puglia;FDI;26529.753595748396;142511.10071244836
Basilicata - U01;Basilicata;FDI;29344.411045805602;152766.11077153683
Calabria - U01;Calabria;FDI;22784.89372163287;104175.83897622116
Calabria - U02;Calabria;FDI;27266.53826725842;120919.8990795482
Calabria - U03;Calabria;FDI;23073.167259293845;108669.00457540154
Calabria - U04;Calabria;FDI;29991.2282911627;112757.23446691409
Calabria - U05;Calabria;FDI;31217.949160575827;116825.8727338314
Sicilia 1 - U01;Sicilia 1;FDI;14178.51283272566;100567.70392146707
Sicilia 1 - U02;Sicilia 1;FDI;24996.79989472377;143283.84437191486
Sicilia 1 - U03;Sicilia 1;FDI;29559.472933326735;131974.823687315
Sicilia 1 - U04;Sicilia 1;FDI;24945.929398116732;113307.3988626767
Sicilia 1 - U05;Sicilia 1;FDI;24125.08164516066;124669.47102713585
Sicilia 1 - U06;Sicilia 1;FDI;21129.733684926134;140046.88969907165
Sicilia 2 - U01;Sicilia 2;FDI;22797.721990826718;124848.07153502107
Sicilia 2 - U02;Sicilia 2;FDI;32404.58050541202;134480.91639989614
Sicilia 2 - U03;Sicilia 2;FDI;27803.462595091936;138201.1140266955
Sicilia 2 - U04;Sicilia 2;FDI;13553.035131514882;100643.31165596843
Sicilia 2 - U05;Sicilia 2;FDI;22253.003240643797;116477.67625188828
Sicilia 2 - U06;Sicilia 2;FDI;30288.551761634753;144798.08882173896
Sardegna - U01;Sardegna;FDI;34317.01488069481;161458.33297353983
Sardegna - U02;Sardegna;FDI;32500.94856465797;148729.19014931098
Sardegna - U03;Sardegna;FDI;25933.406165696273;121324.0268291384
Sardegna - U04;Sardegna;FDI;24878.81664820779;127508.71752074361
Piemonte 1 - U01;Piemonte 1;FI;8303.509047197833;113802.13112157024
Piemonte 1 - U02;Piemonte 1;FI;7460.12472790967;105371.58089447208
Piemonte 1 - U03;Piemonte 1;FI;11396.362092503896;165526.65388635165
Piemonte 1 - U04;Piemonte 1;FI;11317.196369421794;149198.9660488218
Piemonte 1 - U05;Piemonte 1;FI;12048.327130365706;153291.07992081717
Piemonte 2 - U01;Piemonte 2;FI;12203.847192702984;135859.3112794757
Piemonte 2 - U02;Piemonte 2;FI;13016.564332198477;142113.06346663833
Piemonte 2 - U03;Piemonte 2;FI;11870.075054832081;128280.5985716423
Piemonte 2 - U04;Piemonte 2;FI;12034.316241187365;140802.9118091464
Piemonte 2 - U05;Piemonte 2;FI;12729.664712920046;154728.72971874475
Valle d'aosta/Vallée d'Aoste - U01;Valle d'Aosta/Vallée d'Aoste;FI;5.857296880179254;66370.0
Lombardia 1 - U01;Lombardia 1;FI;12502.13197249837;155342.18295099214
Lombardia 1 - U02;Lombardia 1;FI;14278.17098194219;166330.60099975206
Lombardia 1 - U03;Lombardia 1;FI;12393.778854540493;161392.83924120665
Lombardia 1 - U04;Lombardia 1;FI;13607.871874740475;162454.4642060995
Lombardia 1 - U05;Lombardia 1;FI;13016.113086211139;162263.28040081263
Lombardia 1 - U06;Lombardia 1;FI;11471.941236070235;145273.73823688924
Lombardia 1 - U07;Lombardia 1;FI;9783.538632372429;116214.26745604724
Lombardia 1 - U08;Lombardia 1;FI;10149.157148153878;118016.15918585658
Lombardia 1 - U09;Lombardia 1;FI;11753.87793112822;119594.91208931943
Lombardia 2 - U01;Lombardia 2;FI;12692.87448522219;151474.4790506959
Lombardia 2 - U02;Lombardia 2;FI;14481.983156508677;174974.32298791409
Lombardia 2 - U03;Lombardia 2;FI;13306.43030182204;157354.16139608622
Lombardia 2 - U04;Lombardia 2;FI;11291.813043214128;133922.43349497765
Lombardia 2 - U05;Lombardia 2;FI;9392.314531304357;129181.15250968933
Lombardia 3 - U01;Lombardia 3;FI;11994.986266845795;151186.97870968655
Lombardia 3 - U02;Lombardia 3;FI;13449.74118453053;176926.93462750036
Lombardia 3 - U03;Lombardia 3;FI;11317.833741256272;156350.3343309611
Lombardia 3 - U04;Lombardia 3;FI;11322.711373264923;149379.0475662127
Lombardia 3 - U05;Lombardia 3;FI;11808.784477102976;147577.86525928974
Lombardia 4 - U01;Lombardia 4;FI;14635.405591956809;142901.90666890144
Lombardia 4 - U02;Lombardia 4;FI;14023.990100684088;161276.5622330904
Lombardia 4 - U03;Lombardia 4;FI;11708.56175932324;147015.1864758432
Lombardia 4 - U04;Lombardia 4;FI;10366.273998162207;141194.9422620237
Trentino-Alto Adige/Südtirol - U01;Trentino-Alto Adige/Südtirol;FI;5415.044857362643;104570.47535815835
Trentino-Alto Adige/Südtirol - U02;Trentino-Alto Adige/Südtirol;FI;4493.890733198379;90116.22547957301
Trentino-Alto Adige/Südtirol - U03;Trentino-Alto Adige/Südtirol;FI;2424.2982388299606;74605.34712642431
Trentino-Alto Adige/Südtirol - U04;Trentino-Alto Adige/Südtirol;FI;1597.1378243577838;73360.85453355312
Veneto 1 - U01;Veneto 1;FI;9952.823540932599;145419.14242082834
Veneto 1 - U02;Veneto 1;FI;9128.442329630061;144522.44762330689
Veneto 1 - U03;Veneto 1;FI;8694.252803966208;145043.18329924345
Veneto 1 - U04;Veneto 1;FI;7246.312204014156;116333.22060774267
